'report_id','name','required','label','sort','template','settings'
'1','begDate','1','Начало периода','0','date','{"pattern": "dd.MM.yyyy"}'
'1','endDate','1','Конец периода','1','date','{"pattern": "dd.MM.yyyy"}'
'1','managerId','1','Руководитель','2','user','{"group": "MANAGERS"}'
'2','begDate','1','Начало периода','0','date','{"pattern": "dd.MM.yyyy"}'
'2','endDate','1','Конец периода','1','date','{"pattern": "dd.MM.yyyy"}'
'2','managerId','1','Руководитель','2','user','{"group": "MANAGERS"}'
'3','begDate','1','Начало периода','0','date','{"pattern": "dd.MM.yyyy"}'
'3','endDate','1','Конец периода','1','date','{"pattern": "dd.MM.yyyy"}'
'3','authorId','1','Автор','2','user',NULL
'4','begDate','1','Начало периода','0','date','{"pattern": "dd.MM.yyyy"}'
'4','endDate','1','Конец периода','1','date','{"pattern": "dd.MM.yyyy"}'
'4','managerId','1','Руководитель','2','user','{"group": "MANAGERS"}'
'4','documentFormCode','0','Вид документа','3','documentForm','{"type": "INTERNAL"}'
'5','begDate','1','Начало периода','0','date','{"pattern": "dd.MM.yyyy"}'
'5','endDate','1','Конец периода','1','date','{"pattern": "dd.MM.yyyy"}'
'6','begDate','1','Начало периода','0','date','{"pattern": "dd.MM.yyyy"}'
'6','endDate','1','Конец периода','1','date','{"pattern": "dd.MM.yyyy"}'
'7','begDate','1','Начало периода','0','date','{"pattern": "dd.MM.yyyy"}'
'7','endDate','1','Конец периода','1','date','{"pattern": "dd.MM.yyyy"}'
'8','begDate','1','Начало периода','0','date','{"pattern": "dd.MM.yyyy"}'
'8','endDate','1','Конец периода','1','date','{"pattern": "dd.MM.yyyy"}'
'8','executorId','1','Исполнитель','2','user',NULL
'9','begDate','1','Начало периода','0','date','{"pattern": "dd.MM.yyyy"}'
'9','endDate','1','Конец периода','1','date','{"pattern": "dd.MM.yyyy"}'
'10','begDate','1','Начало периода','0','date','{"pattern": "dd.MM.yyyy"}'
'10','endDate','1','Конец периода','1','date','{"pattern": "dd.MM.yyyy"}'
'10','executorId','1','Исполнитель','2','user',NULL
'11','begDate','1','Начало периода','0','date','{"pattern": "dd.MM.yyyy"}'
'11','endDate','1','Конец периода','1','date','{"pattern": "dd.MM.yyyy"}'
'11','managerId','1','Руководитель','2','user','{"group": "MANAGERS"}'
